location_type,parent_station,platform_code,stop_code,stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_url,wheelchair_boarding,zone_id
0,gs:nmbssncb:S8843331,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843331_1,50.54601,5.32049,Amay,"",,
0,gs:nmbssncb:S8843331,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843331_2,50.54601,5.32049,Amay,"",,
0,gs:nmbssncb:S8843349,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8843349,50.553492,5.330336,Haute-Flône,"",,
0,gs:nmbssncb:S8843349,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843349_1,50.553492,5.330336,Haute-Flône,"",,
0,gs:nmbssncb:S8843349,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843349_2,50.553492,5.330336,Haute-Flône,"",,
0,gs:nmbssncb:S8843406,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8843406,50.52828,5.21968,Statte,"",,
0,gs:nmbssncb:S8843406,5,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843406_5,50.52828,5.21968,Statte,"",,
0,gs:nmbssncb:S8843406,6,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843406_6,50.52828,5.21968,Statte,"",,
0,gs:nmbssncb:S8843406,7,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843406_7,50.52828,5.21968,Statte,"",,
0,gs:nmbssncb:S8843406,8,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843406_8,50.52828,5.21968,Statte,"",,
0,gs:nmbssncb:S8843430,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8843430,50.52263,5.19094,Bas-Oha,"",,
0,gs:nmbssncb:S8843430,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843430_1,50.52263,5.19094,Bas-Oha,"",,
0,gs:nmbssncb:S8843430,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8843430_2,50.52263,5.19094,Bas-Oha,"",,
0,gs:nmbssncb:S8843901,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8843901,50.643963,5.611062,Bressoux,"",,
0,gs:nmbssncb:S8844628,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8844628_1,50.63516,6.03711,Eupen,"",,
0,gs:nmbssncb:S8844628,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8844628_2,50.63516,6.03711,Eupen,"",,
0,gs:nmbssncb:S8844644,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8844644,50.718213,6.041336,Hergenrath,"",,
0,gs:nmbssncb:S8844644,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8844644_1,50.718213,6.041336,Hergenrath,"",,
0,gs:nmbssncb:S8844644,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8844644_2,50.718213,6.041336,Hergenrath,"",,
0,gs:nmbssncb:S8845005,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8845005,50.18941,5.95391,Gouvy,"",,
0,gs:nmbssncb:S8845005,1,"",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8845005_1,50.18941,5.95391,Gouvy,"",,
0,gs:nmbssncb:S8845005,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8845005_2,50.18941,5.95391,Gouvy,"",,
0,gs:nmbssncb:S8845005,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8845005_3,50.18941,5.95391,Gouvy,"",,
0,gs:nmbssncb:S8845146,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8845146,50.278932,5.909209,Vielsalm,"",,
0,gs:nmbssncb:S8845146,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8845146_1,50.278932,5.909209,Vielsalm,"",,
0,gs:nmbssncb:S8845146,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8845146_2,50.278932,5.909209,Vielsalm,"",,
0,gs:nmbssncb:S8845203,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8845203,50.368217,5.873579,Trois-Ponts,"",,
0,gs:nmbssncb:S8845203,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8845203_1,50.368217,5.873579,Trois-Ponts,"",,
0,gs:nmbssncb:S8845203,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8845203_2,50.368217,5.873579,Trois-Ponts,"",,
0,gs:nmbssncb:S8845229,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8845229,50.391127,5.880474,Coo,"",,
0,gs:nmbssncb:S8845229,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8845229_1,50.391127,5.880474,Coo,"",,
0,gs:nmbssncb:S8846201,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8846201,50.737762,5.692548,Visé,"",,
0,gs:nmbssncb:S8846201,1,"",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8846201_1,50.737762,5.692548,Visé,"",,
0,gs:nmbssncb:S8846201,2,"",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8846201_2,50.737762,5.692548,Visé,"",,
0,gs:nmbssncb:S8846201,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8846201_3,50.737762,5.692548,Visé,"",,
0,gs:nmbssncb:S8846201,BUS,"",NMBSSNCB BUS PLATFORM,gs:nmbssncb:8846201_BUS,50.737762,5.692548,Visé,"",,
0,nmbssncb:s-hergenrathfrontire,"","",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8849023,50.71896,6.041269,Hergenrath-Frontière,"",,
0,nmbssncb:s-gouvyfrontire,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8849072,50.171653,5.968613,Gouvy-Frontière,"",,
0,gs:nmbssncb:S8861119,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861119,50.45774,4.82842,Ronet,"",,
0,gs:nmbssncb:S8861119,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861119_1,50.45774,4.82842,Ronet,"",,
0,gs:nmbssncb:S8861119,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861119_2,50.45774,4.82842,Ronet,"",,
0,gs:nmbssncb:S8861119,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861119_3,50.45774,4.82842,Ronet,"",,
0,gs:nmbssncb:S8861127,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861127,50.45624,4.8063,Flawinne,"",,
0,gs:nmbssncb:S8861127,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861127_1,50.45624,4.8063,Flawinne,"",,
0,gs:nmbssncb:S8861127,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861127_2,50.45624,4.8063,Flawinne,"",,
0,gs:nmbssncb:S8861127,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861127_3,50.45624,4.8063,Flawinne,"",,
0,gs:nmbssncb:S8861135,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861135,50.443328,4.762371,Floreffe,"",,
0,gs:nmbssncb:S8861135,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861135_1,50.443328,4.762371,Floreffe,"",,
0,gs:nmbssncb:S8861135,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861135_2,50.443328,4.762371,Floreffe,"",,
0,gs:nmbssncb:S8861143,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861143,50.43954,4.73355,Franière,"",,
0,gs:nmbssncb:S8861143,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861143_1,50.43954,4.73355,Franière,"",,
0,gs:nmbssncb:S8861143,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861143_2,50.43954,4.73355,Franière,"",,
0,gs:nmbssncb:S8861150,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861150,50.45275,4.69381,Moustier,"",,
0,gs:nmbssncb:S8861150,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861150_1,50.45275,4.69381,Moustier,"",,
0,gs:nmbssncb:S8861150,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861150_2,50.45275,4.69381,Moustier,"",,
0,nmbssncb:s-hamsursambre,"","",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861168,50.452852,4.672923,Ham-sur-Sambre,"",,
0,gs:nmbssncb:S8861200,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861200,50.570486,4.691497,Gembloux,"",,
0,gs:nmbssncb:S8861200,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861200_1,50.570486,4.691497,Gembloux,"",,
0,gs:nmbssncb:S8861200,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861200_2,50.570486,4.691497,Gembloux,"",,
0,gs:nmbssncb:S8861200,3,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861200_3,50.570486,4.691497,Gembloux,"",,
0,gs:nmbssncb:S8861200,4,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861200_4,50.570486,4.691497,Gembloux,"",,
